split,date,experiment,seed,loss,n_epochs,batch_size,im_size,detector,ID_accuracy,l1_AUROC,l2_AUROC,all_AUROC,l1_FPR95TPR,l2_FPR95TPR,all_FPR95TPR,dogs_AUROC,places_AUROC,cars_AUROC,cfg_AUROC,dogs_FPR95TPR,places_FPR95TPR,cars_FPR95TPR,cfg_FPR95TPR
hard1,2022-09-27,4,1000003,oe,100,20,big,Softmax,0.7712739793408756,0.7574170827865601,0.7696428298950195,0.7659994959831238,0.7653713822364807,0.734382688999176,0.7427446842193604,0.9999520778656006,0.9995437264442444,0.9999988079071045,0.9998316168785095,0.0,0.0,0.0,0.0
hard1,2022-09-27,5,1000004,oe,100,20,big,Softmax,0.764387604525332,0.751940906047821,0.7536642551422119,0.7531506419181824,0.7220855951309204,0.7722577452659607,0.7594687938690186,0.999990701675415,0.9996984004974365,0.999995768070221,0.9998949766159058,0.0,0.00022123893722891808,0.0,0.0
hard1,2022-09-28,1,1000000,energy,100,20,big,Softmax,0.5346778160354156,0.4838852286338806,0.46003246307373047,0.4671407639980316,0.9808165431022644,0.9808165431022644,0.9808165431022644,0.00015542548499070108,0.0010667674941942096,2.734882218646817e-05,0.0004165139398537576,1.0,1.0,1.0,1.0
hard1,2022-09-28,2,1000001,energy,100,20,big,NegativeEnergy,0.5459911460895229,0.46012213826179504,0.4540022015571594,0.4558259844779968,0.9734382629394531,0.9783571362495422,0.9783571362495422,7.866443047532812e-05,0.0008069010218605399,2.9605515010189265e-05,0.00030505695031024516,1.0,1.0,1.0,1.0
hard1,2022-09-28,3,1000002,energy,100,20,big,NegativeEnergy,0.7353664535169699,0.5097118616104126,0.4727855622768402,0.48378992080688477,0.9763895869255066,0.9877029061317444,0.9852434992790222,0.0007051844731904566,0.000471898092655465,0.0005619199946522713,0.0005796675104647875,1.0,1.0,1.0,1.0
hard1,2022-09-28,4,1000003,energy,100,20,big,NegativeEnergy,0.543531726512543,0.47361481189727783,0.4605403244495392,0.4644366502761841,0.9793408513069153,0.9832759499549866,0.9827840924263,0.00015878412523306906,0.0010293492814525962,4.498605994740501e-05,0.00041103982948698103,1.0,1.0,1.0,1.0
hard1,2022-09-28,5,1000004,energy,100,20,big,NegativeEnergy,0.6576487948844073,0.5226662755012512,0.513054609298706,0.5159189701080322,0.9832759499549866,0.9877029061317444,0.98622727394104,0.000623962958343327,0.0005883029662072659,0.0003311313921585679,0.0005144657334312797,1.0,1.0,1.0,1.0
hard2,2022-09-29,1,1000000,vanilla,100,20,big,Softmax,0.7668207498715973,0.775165319442749,0.7196986675262451,0.7355243563652039,0.7308679819107056,0.9080637097358704,0.8520801067352295,0.7756975889205933,0.7495750784873962,0.5037192702293396,0.6763306260108948,0.611311137676239,0.6367294788360596,0.9004448056221008,0.8135988116264343
hard2,2022-09-29,2,1000001,vanilla,100,20,big,Softmax,0.7724704673857217,0.7731873393058777,0.7283969521522522,0.7411764860153198,0.7062146663665771,0.8053415417671204,0.781715452671051,0.8099911212921143,0.7737888693809509,0.5520946383476257,0.7119581699371338,0.5651345252990723,0.6219021677970886,0.8618936538696289,0.7653039693832397
hard2,2022-09-29,3,1000002,vanilla,100,20,big,Softmax,0.7806882383153569,0.7660331726074219,0.715385913848877,0.729836642742157,0.7550076842308044,0.8510528802871704,0.8202362656593323,0.7777183651924133,0.7605246901512146,0.5766752362251282,0.7049726843833923,0.6115229725837708,0.6322813034057617,0.8572336435317993,0.7513238787651062
